Q.yearborn,Q.gender,Q.ethnicity,What do you use to stream TV shows or movies? Select all that apply.,"Of the two options, how do you identify?",Which statement applies to you? Select one.,Which do you currently use? Select all that apply.,"Of the below list, which platform do you use the most, right now? Select one.",Which do you currently use? Select all that apply.,"Of the below list, which platform do you use the most, right now? Select one.",Which statement best applies to you?,Have you canceled a streaming subscription in the past year?,Why did you cancel the streaming subscription in the past year? Select all that apply.,How many hours per week do you spend watching TV shows?,How many hours per week do you spend watching movies?,How many hours per week do you spend playing video games?,How many hours per week do you spend listening to podcasts or audiobooks?,How many hours per week do you spend listening to music?,"Of the below list, which is your favorite to do?","When you are streaming a TV show or movie, which do you primarily prefer?","When you are streaming a TV show or movie, which do you primarily prefer?","When you discover a new TV show or movie, how do you typically first hear about it? Select one.",How important is it to you to be the first of your friend group to discover a new TV show or movie?
2004,Female,['Black or African American'],"['Smart TV', 'Roku ', 'Chromecast', 'Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Apple TV+', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'Crunchyroll']",Paramount +,"['Spotify', 'Apple Music', 'Pandora', 'SoundCloud']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],9-11 hours,9-11 hours,12+ hours,0 hours,12+ hours,Listening to music,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Not at all important
2000,Female,['Black or African American'],"['Roku ', 'Smartphone', 'Laptop']",Introvert,I have a part time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Sling', 'Apple TV+', 'Disney+', 'HBO Max']",Amazon Prime Video,['Apple Music'],,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,0 hours,0 hours,9-11 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,Somewhat important
1998,Female,['Black or African American'],"['Smart TV', 'Roku ', 'Chromecast', 'Apple TV', 'Smartphone']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'YouTube Premium', 'Peacock', 'HBO Max']",Netflix,"['Amazon Music', 'Apple Music', 'Pandora', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,9-11 hours,0 hours,1-5 hours,12+ hours,Listening to music,Have it on in the background,Watch with friends/family,Seeing it on social media or online,Very important
2002,Female,['Black or African American'],"['Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Apple TV+', 'Disney+', 'Funimation']",Apple TV+,"['Spotify', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,1-5 hours,1-5 hours,1-5 hours,Watching TV shows,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Very important
2002,Female,['White or Caucasian'],"['Roku ', 'Firestick', 'Smartphone', 'Laptop']",Extrovert,I have a part time job,"['Hulu', 'Netflix', 'Sling', 'Disney+', 'Paramount +', 'HBO Max']",Paramount +,"['Spotify', 'Apple Music', 'Pandora', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Other (please specify)'],9-11 hours,6-8 hours,< 1 hour,0 hours,9-11 hours,Watching TV shows,Have it on in the background,Watch alone,Seeing it on social media or online,Somewhat important
2001,Male,['Black or African American'],"['Roku ', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Netflix', 'Disney+', 'HBO Max', 'Crunchyroll']",Netflix,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,0 hours,0 hours,6-8 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Very important
2004,Male,['Black or African American'],"['Roku ', 'Smartphone']",Extrovert,I have a full time job,"['Netflix', 'Peacock']",Netflix,"['Spotify', 'Pandora', 'YouTube Music']",Pandora,I use a friend or family member’s account for most of the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",1-5 hours,< 1 hour,1-5 hours,0 hours,1-5 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
1999,Male,['Black or African American'],"['Smart TV', 'Roku ', 'Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'YouTube Premium', 'Apple TV+', 'Disney+', 'Funimation']",Funimation,"['Spotify', 'Apple Music', 'SoundCloud', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],9-11 hours,9-11 hours,12+ hours,1-5 hours,12+ hours,Listening to music,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Very important
2000,Male,"['White or Caucasian', 'Black or African American']","['Smart TV', 'Roku ', 'Gaming console', 'Smartphone']",Extrovert,None of the above,"['Hulu', 'YouTube Premium', 'Disney+', 'Peacock', 'Paramount +', 'Discovery+', 'Funimation']",Hulu,"['Spotify', 'Apple Music', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],6-8 hours,1-5 hours,9-11 hours,0 hours,1-5 hours,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Not at all important
2002,Female,['Black or African American'],"['Smart TV', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Apple TV+', 'Disney+', 'Peacock']",Disney+,"['Spotify', 'Apple Music', 'SoundCloud']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Hard to navigate the platform'],12+ hours,12+ hours,0 hours,0 hours,12+ hours,Watching TV shows,Focus entirely on the show,Watch alone,Seeing it on social media or online,Very important
