In what year were you born?,Gender:,Race/Ethnicity:(Select all that apply),"Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, please drag and drop the following Mexican fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, please drag and drop the following Mexican fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, please drag and drop the following Mexican fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, please drag and drop the following Mexican fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, please drag and drop the following Mexican fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, please drag and drop the following Mexican fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, please drag and drop the following Mexican fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following burger fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following burger fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following burger fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following burger fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following burger fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following burger fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following burger fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop your favorite chicken sandwich from these fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop your favorite chicken sandwich from these fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop your favorite chicken sandwich from these fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop your favorite chicken sandwich from these fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop your favorite chicken sandwich from these fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop your favorite chicken sandwich from these fast food restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop your favorite chicken sandwich from these fast food restaurants from favorite to least favorite.","Using a scale of 1 to 6 where 1 is your first choice and 6 is your least favorite choice, Please drag and drop the following pizza restaurants from favorite to least favorite.","Using a scale of 1 to 6 where 1 is your first choice and 6 is your least favorite choice, Please drag and drop the following pizza restaurants from favorite to least favorite.","Using a scale of 1 to 6 where 1 is your first choice and 6 is your least favorite choice, Please drag and drop the following pizza restaurants from favorite to least favorite.","Using a scale of 1 to 6 where 1 is your first choice and 6 is your least favorite choice, Please drag and drop the following pizza restaurants from favorite to least favorite.","Using a scale of 1 to 6 where 1 is your first choice and 6 is your least favorite choice, Please drag and drop the following pizza restaurants from favorite to least favorite.","Using a scale of 1 to 6 where 1 is your first choice and 6 is your least favorite choice, Please drag and drop the following pizza restaurants from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following convenience stores from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following convenience stores from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following convenience stores from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following convenience stores from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following convenience stores from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following convenience stores from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following convenience stores from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following sandwich shops from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following sandwich shops from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following sandwich shops from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following sandwich shops from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following sandwich shops from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following sandwich shops from favorite to least favorite.","Using a scale of 1 to 7 where 1 is your first choice and 7 is your least favorite choice, Please drag and drop the following sandwich shops from favorite to least favorite.","Using a scale of 1 to 6 where 1 is your first choice and 6 is your least favorite choice, Please drag and drop the following breakfast restaurants from favorite to least favorite.","Using a scale of 1 to 6 where 1 is your first choice and 6 is your least favorite choice, Please drag and drop the following breakfast restaurants from favorite to least favorite.","Using a scale of 1 to 6 where 1 is your first choice and 6 is your least favorite choice, Please drag and drop the following breakfast restaurants from favorite to least favorite.","Using a scale of 1 to 6 where 1 is your first choice and 6 is your least favorite choice, Please drag and drop the following breakfast restaurants from favorite to least favorite.","Using a scale of 1 to 6 where 1 is your first choice and 6 is your least favorite choice, Please drag and drop the following breakfast restaurants from favorite to least favorite.","Using a scale of 1 to 6 where 1 is your first choice and 6 is your least favorite choice, Please drag and drop the following breakfast restaurants from favorite to least favorite."
2003,Male,['White or Caucasian'],Chipotle,Del Taco,El Pollo Loco,Taco Johns,Qdoba,Moe’s Southwest Grill,Taco Bell,In-N-Out,Burger King,Whataburger,Sonic,McDonald's,Five Guys,,Churchs,Raising Canes,McDonalds,KFC,Chick-fil-a,Popeyes,Wendys,Cici’s Pizza,Domino's,Little Caesars,Pizza Hut,Blaze Pizza,Papa John's,7-Eleven,Sunoco,QuikTrip,Circle K,AmPm,Love's Travel Stops,Flying-J,Jersey Mike's Subs,Firehouse Subs,Jimmy John's,Panera,Potbelly,Subway,Which Wich,Denny's,IHOP,Waffle House,Cracker Barrel,Village Inn,Perkins Restaurant & Bakery
1998,Male,"['White or Caucasian', 'Hispanic']",Chipotle,Taco Bell,Moe’s Southwest Grill,Qdoba,El Pollo Loco,Taco Johns,Del Taco,Five Guys,In-N-Out,Sonic,Burger King,Whataburger,Shake Shack,,KFC,Popeyes,McDonalds,Churchs,Chick-fil-a,Raising Canes,Wendys,Little Caesars,Papa John's,Domino's,Pizza Hut,Blaze Pizza,Cici’s Pizza,Flying-J,Sunoco,QuikTrip,Love's Travel Stops,Circle K,7-Eleven,AmPm,Firehouse Subs,Jimmy John's,Subway,Potbelly,Panera,Jersey Mike's Subs,Which Wich,Denny's,IHOP,Perkins Restaurant & Bakery,Cracker Barrel,Waffle House,Village Inn
2003,Male,['White or Caucasian'],El Pollo Loco,Del Taco,Taco Johns,Taco Bell,Qdoba,Moe’s Southwest Grill,Chipotle,Five Guys,Sonic,McDonald's,Burger King,Whataburger,In-N-Out,,Wendys,KFC,McDonalds,Chick-fil-a,Raising Canes,Popeyes,Churchs,Cici’s Pizza,Papa John's,Domino's,Pizza Hut,Blaze Pizza,Little Caesars,Flying-J,QuikTrip,7-Eleven,Love's Travel Stops,Circle K,Sunoco,AmPm,Jimmy John's,Firehouse Subs,Potbelly,Which Wich,Jersey Mike's Subs,Subway,Panera,Waffle House,Cracker Barrel,Denny's,Perkins Restaurant & Bakery,IHOP,Village Inn
2001,Male,"['White or Caucasian', 'Other (please specify):']",Qdoba,Taco Bell,Taco Johns,Del Taco,Moe’s Southwest Grill,El Pollo Loco,Chipotle,In-N-Out,McDonald's,Sonic,Burger King,Whataburger,Shake Shack,,Raising Canes,Churchs,McDonalds,Wendys,KFC,Popeyes,Chick-fil-a,Pizza Hut,Cici’s Pizza,Domino's,Little Caesars,Blaze Pizza,Papa John's,Circle K,Love's Travel Stops,Sunoco,QuikTrip,Flying-J,AmPm,7-Eleven,Jimmy John's,Which Wich,Jersey Mike's Subs,Panera,Firehouse Subs,Subway,Potbelly,IHOP,Perkins Restaurant & Bakery,Denny's,Village Inn,Waffle House,Cracker Barrel
1999,Male,['White or Caucasian'],Del Taco,Taco Bell,Moe’s Southwest Grill,El Pollo Loco,Chipotle,Taco Johns,Qdoba,Whataburger,Five Guys,Shake Shack,In-N-Out,Burger King,Sonic,,KFC,Raising Canes,McDonalds,Chick-fil-a,Wendys,Popeyes,Churchs,Domino's,Little Caesars,Papa John's,Pizza Hut,Cici’s Pizza,Blaze Pizza,Love's Travel Stops,AmPm,Sunoco,QuikTrip,Circle K,Flying-J,7-Eleven,Jersey Mike's Subs,Jimmy John's,Subway,Panera,Potbelly,Firehouse Subs,Which Wich,IHOP,Denny's,Waffle House,Village Inn,Perkins Restaurant & Bakery,Cracker Barrel
2000,Female,['White or Caucasian'],Moe’s Southwest Grill,Taco Bell,El Pollo Loco,Del Taco,Taco Johns,Qdoba,Chipotle,Sonic,Five Guys,Whataburger,McDonald's,Shake Shack,In-N-Out,,Chick-fil-a,Popeyes,McDonalds,KFC,Churchs,Raising Canes,Wendys,Little Caesars,Cici’s Pizza,Blaze Pizza,Domino's,Papa John's,Pizza Hut,Love's Travel Stops,7-Eleven,QuikTrip,Flying-J,Circle K,Sunoco,AmPm,Jersey Mike's Subs,Potbelly,Panera,Jimmy John's,Subway,Firehouse Subs,Which Wich,Perkins Restaurant & Bakery,Waffle House,IHOP,Village Inn,Denny's,Cracker Barrel
2002,Female,['White or Caucasian'],Taco Bell,Qdoba,El Pollo Loco,Chipotle,Taco Johns,Del Taco,Moe’s Southwest Grill,In-N-Out,Sonic,Shake Shack,Burger King,Whataburger,McDonald's,,Popeyes,Chick-fil-a,McDonalds,Raising Canes,KFC,Churchs,Wendys,Little Caesars,Papa John's,Pizza Hut,Domino's,Blaze Pizza,Cici’s Pizza,Flying-J,Love's Travel Stops,QuikTrip,Circle K,AmPm,Sunoco,7-Eleven,Potbelly,Jersey Mike's Subs,Firehouse Subs,Which Wich,Subway,Jimmy John's,Panera,Waffle House,Perkins Restaurant & Bakery,Denny's,Cracker Barrel,IHOP,Village Inn
1999,Female,['White or Caucasian'],Taco Bell,Del Taco,Taco Johns,Qdoba,Moe’s Southwest Grill,Chipotle,El Pollo Loco,In-N-Out,Whataburger,Five Guys,McDonald's,Sonic,Burger King,,Raising Canes,Churchs,McDonalds,Wendys,KFC,Chick-fil-a,Popeyes,Papa John's,Cici’s Pizza,Little Caesars,Pizza Hut,Domino's,Blaze Pizza,Sunoco,QuikTrip,7-Eleven,Circle K,AmPm,Love's Travel Stops,Flying-J,Which Wich,Jersey Mike's Subs,Jimmy John's,Firehouse Subs,Panera,Potbelly,Subway,Denny's,Cracker Barrel,Waffle House,IHOP,Perkins Restaurant & Bakery,Village Inn
1999,Female,['White or Caucasian'],El Pollo Loco,Chipotle,Del Taco,Taco Bell,Moe’s Southwest Grill,Taco Johns,Qdoba,Five Guys,Sonic,Shake Shack,Whataburger,Burger King,In-N-Out,,Popeyes,Chick-fil-a,McDonalds,KFC,Wendys,Churchs,Raising Canes,Pizza Hut,Blaze Pizza,Little Caesars,Cici’s Pizza,Papa John's,Domino's,7-Eleven,Circle K,Sunoco,Love's Travel Stops,Flying-J,AmPm,QuikTrip,Jimmy John's,Which Wich,Jersey Mike's Subs,Firehouse Subs,Panera,Subway,Potbelly,IHOP,Perkins Restaurant & Bakery,Denny's,Village Inn,Waffle House,Cracker Barrel
1998,Female,['White or Caucasian'],Taco Bell,Chipotle,Qdoba,Del Taco,Taco Johns,El Pollo Loco,Moe’s Southwest Grill,In-N-Out,Whataburger,McDonald's,Five Guys,Burger King,Sonic,,Chick-fil-a,McDonalds,Raising Canes,Wendys,KFC,Churchs,Popeyes,Pizza Hut,Little Caesars,Blaze Pizza,Papa John's,Cici’s Pizza,Domino's,7-Eleven,AmPm,Sunoco,Circle K,QuikTrip,Flying-J,Love's Travel Stops,Which Wich,Jimmy John's,Jersey Mike's Subs,Potbelly,Firehouse Subs,Panera,Subway,IHOP,Perkins Restaurant & Bakery,Denny's,Waffle House,Cracker Barrel,Village Inn
